Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Bahrain;BHR;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;3072698328.47;3467819148.94;3645744680.85;3735106382.98;3905585106.38;3651861702.13;3052393617.02;3392021010.64;3702393617.02;3863563829.79;4229787234.04;4616223404.26;4751063829.79;5200265957.45;5567553457.45;5849467819.15;6101861436.17;6349202393.62;6183776595.74;6621010372.34;9062898936.17;8976196808.51;9593510638.30;11074813829.79;13150159574.47;15968723404.26;18504760638.30;21730000000.00;25710904255.32;22938218085.11;25713271276.60;28776595744.68;30749308510.64;32539468085.11;33387712765.96;31050638297.87;32234973404.26;35473776595.74;37652500000.00;38574069148.94
Bahamas, The;BHS;GDP (current US$);NY.GDP.MKTP.CD;169803921.57;190098039.22;212254901.96;237745098.04;266666666.67;300392156.86;340000000.00;390196078.43;444901960.78;528137254.90;538423153.69;573400000.00;590900000.00;670900000.00;632400000.00;596200000.00;642100000.00;713000000.00;832400000.00;1139800100.00;1335300000.00;1426500000.00;1578300000.00;1732800000.00;2041100000.00;2320699900.00;2472500000.00;2713999900.00;2817900000.00;3062000000.00;3166000000.00;3111160000.00;3109000000.00;3092000000.00;3259000000.00;3429000000.00;3609000000.00;6332360000.00;6833220000.00;7683870000.00;8076470000.00;8317830000.00;8881160000.00;8870090000.00;9055290000.00;9836200000.00;10167250000.00;10618340000.00;10526000000.00;9981960000.00;10095760000.00;10070450000.00;10720500000.00;10568400000.00;11111600000.00;11710800000.00;11928500000.00;12490700000.00;13022100000.00;13578800000.00
Bosnia and Herzegovina;BIH;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1255802469.14;1866572953.74;2786045321.64;3671816504.24;4116699437.40;4685733115.47;5505887894.49;5748993411.42;6651106833.49;8369878822.85;10596205714.29;11222953519.43;12864610993.52;15778767669.70;19112739664.47;17613836209.96;17176781336.76;18644723860.97;17226849297.07;18178503835.45;18558343508.34;16211541820.24;16913330693.97;18080118128.39;20183510561.26;20164193806.88
Belarus;BLR;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21650000000.00;18000000000.00;17037037037.04;16280991735.54;14932024169.18;13972676840.92;14756846153.85;14128408565.71;15222012660.42;12138486532.02;12736856827.98;12354820143.88;14594249022.89;17827791321.31;23144351851.85;30207567316.62;36954312354.31;45277399813.61;60763483146.07;50874078052.27;57222490768.71;61757788944.72;65685102554.88;75527984234.23;78813839984.35;56454734396.58;47722657820.67;54726595249.18;60031262269.34;63080457022.66
Belize;BLZ;GDP (current US$);NY.GDP.MKTP.CD;28071888.56;29964370.71;31856922.86;33749405.01;36193826.12;40069930.07;44405594.41;47379310.34;44910179.64;47305389.22;53233532.93;59207317.07;66062500.00;78343558.28;103216374.27;118066298.34;96905829.60;117650000.00;136300000.00;151800000.00;197938222.43;196089854.66;182206326.99;192103185.96;214381949.02;212643742.66;231638320.54;281082558.59;320093360.27;369133890.70;412086445.49;444720750.00;518239100.00;559858250.00;580863700.00;620140400.00;641383800.00;654314350.00;688992450.00;732750000.00;832050000.00;868350000.00;925050000.00;983500000.00;1051350000.00;1102050000.00;1210150000.00;1271600000.00;1351350000.00;1317300000.00;1377200000.00;1460800000.00;1522900000.00;1579400000.00;1662800000.00;1723800000.00;1775100000.00;1836600000.00;1871200000.00;1879613600.00
Bermuda;BMU;GDP (current US$);NY.GDP.MKTP.CD;84466654.08;89249986.70;94149985.97;96366652.31;107566650.64;114339048.96;134173373.78;155102984.62;150000000.00;164900000.00;186300000.00;211100000.00;235400000.00;269500000.00;312600000.00;345000000.00;386300000.00;447000000.00;475800000.00;517200000.00;613299968.00;739100032.00;785500032.00;889400000.00;985699968.00;1039500032.00;1173500032.00;1296499968.00;1415100032.00;1501500032.00;1592400000.00;1634900000.00;1679900000.00;1820359900.00;1867160100.00;2030750000.00;2695390000.00;2932827000.00;3130748000.00;3324433000.00;3480219000.00;3680483000.00;3937228000.00;4186525000.00;4484703000.00;4868136000.00;6144000000.00;6767000000.00;6980000000.00;6656000000.00;6634526000.00;6312691000.00;6378188000.00;6465756000.00;6413988000.00;6654541000.00;6899911000.00;7142316000.00;7224329000.00;7484113000.00
Bolivia;BOL;GDP (current US$);NY.GDP.MKTP.CD;373879363.60;406684585.72;444665186.40;478805990.08;539491477.32;604377104.38;669191919.19;755808080.81;857912457.91;929629629.63;1017003367.00;1095622895.62;1257615644.98;1262968515.74;2100249875.06;2404697651.17;2731984008.00;3227436281.86;3758220889.56;4421343606.18;4526916802.61;5872756933.12;5587490264.81;5422440961.88;6169501037.98;5377277406.72;3958338883.22;4323623622.16;4597615562.67;4715978868.22;4867582620.21;5343274311.57;5643893347.01;5734676560.92;5981244886.92;6715220507.05;7396966657.47;7925673448.41;8497545598.08;8285075872.27;8397912509.10;8141537937.61;7905485216.18;8082364868.39;8773451738.91;9549077869.11;11451869164.71;13120183156.71;16674324634.24;17339992165.24;19649631314.05;23963033430.60;27084497482.86;30659338880.38;32996188012.68;33000198248.34;33941126200.06;37508642165.34;40287647930.48;40895322843.79
Brazil;BRA;GDP (current US$);NY.GDP.MKTP.CD;15165569912.52;15236854859.47;19926293839.02;23021477292.21;21211892259.99;21790035117.19;27062716577.91;30591834053.97;33875881876.37;37458898243.86;42327600098.24;49204456700.45;58539008786.37;79279057730.83;105136007528.76;123709376567.89;152678020452.83;176171284311.76;200800891870.16;224969488835.18;235024598983.26;263561088977.13;281682304161.04;203304515490.80;209023912696.84;222942790435.30;268137224729.72;294084112392.66;330397381998.49;425595310000.00;461951782000.00;602860000000.00;400599250000.00;437798577639.75;558111997497.26;769305386182.85;850426432991.74;883199625324.68;863723411632.92;599388579985.67;655420645476.91;559372276081.97;507962487700.02;558319920831.98;669316654017.09;891630177251.07;1107640289615.23;1397084349956.35;1695824565983.20;1667019783585.08;2208871646202.82;2616200980392.16;2465188674415.03;2472806919901.67;2455993625159.37;1802214373741.32;1795700168991.49;2062831045935.95;1885482534238.33;1839758040765.62
Barbados;BRB;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;311809337.47;402178605.02;435911268.59;495097667.93;552883707.06;670362452.15;1012280614.53;1114204743.20;1163923830.36;1236016506.74;1346890071.10;1409536120.92;1547755183.21;1704370307.76;1812757917.76;2006165166.81;2012131457.27;2020583702.08;1957000000.00;2063342117.04;2151344901.31;2216974096.36;2363645403.47;2498384129.67;2817083478.35;2951822204.54;3059500000.00;3054500000.00;3106500000.00;3209500000.00;3444500000.00;3819500000.00;4217500000.00;4674000000.00;4785000000.00;4465500000.00;4530000000.00;4657500000.00;4610000000.00;4677000000.00;4696500000.00;4715000000.00;4830000000.00;4978000000.00;5086500000.00;5209000000.00
Brunei Darussalam;BRN;GDP (current US$);NY.GDP.MKTP.CD;;;;;;114040245.66;132758395.40;139030445.58;160819286.55;161211289.69;179080099.31;197523179.24;270818555.82;433092003.58;1073577085.64;1168304305.66;1423061356.65;1732721160.94;1941600703.61;2803780005.52;4928824957.97;4366213849.58;4264252336.45;3844723142.45;3782523088.46;3523612563.07;2358592817.12;2754463437.80;2690717551.18;2985467979.29;3520551724.14;3701667052.56;4183548189.07;4105706151.75;4087337959.93;4734020036.69;5115602836.88;5197332974.14;4051147227.53;4600000000.00;6001153306.26;5601090584.36;5843329107.56;6557333084.61;7872333215.00;9531402847.87;11470703002.08;12247694247.23;14393099068.59;10732366286.26;13707370737.07;18525319977.74;19047940300.90;18093829923.27;17098342541.44;12930394937.81;11400854267.72;12128104859.15;13567351175.03;13469422958.51
