Country;Product;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Greece;Renewable sources;2652;2677;2223;2347;2015;1879;1922;2988;3566;3405;3407;3561;2340;2862;2805;3235;2781;2367;1901;1771;3101;2212;2330;2637;3564;4386;3918;3787;4755;4144;2932;3577;5892;5918;6406;7679;4594;5750;8185;10522;8143;10151;14349;12177;14850;14893.3;13801.039;16148.429;16837.763
Greece;Total;11562;13121;14817;15020;16120;17843;18985;21050;22102;22653;23393;23272;23983;24804;27740;28124;30086;33162;34210;34775;35743;37225;38137;40381;41299;42411;43292;46180;49395;53425;53076;53945;57905;58813;59427;60179;62711;62912;61094;57367;59172;60771;57114;50343;51822;54416.3;55188.83;53246.332;48720.478
Hungary;Fossil fuels;14898;16213;17542;18904;20309;21885;23253;25405;24373;23764;24132;24616;23162;22302;20102;20438;18549;15575;15525;14493;15995;17472;18876;19215;19726;20612;21118;22974;23435;20713;21976;21938;22763;20831;19980;20773;23254;22736;17470;18438;17491;16078;12003;10430;11093;12300;13021;12158;12824
Hungary;Nuclear;0;0;0;0;0;0;0;0;0;0;0;0;2473;3766;6480;7424;10986;13445;13891;13731;13726;13964;13796;14049;14026;14180;13968;13949;14096;14180;14126;13953;11013;11915;13834;13461;14677;14818;15426;15761;15685;15793;15370;15649;15834;16054;16098;15733;16288
Hungary;Renewable sources;96;110;101;81;163;165;149;138;146;112;168;159;155;208;185;178;192;191;162;195;218;204;205;206;219;257;269;215;246;243;257;237;336;936;1870;1493;1883;2357;2895;3020;2708;2646;2788;3151;3229;3258;3482;3753;4578
Hungary;Total;14994;16323;17643;18985;20472;22050;23402;25543;24519;23876;24300;24775;25790;26303;26796;28064;29749;29233;29581;28436;29963;31685;32915;33515;34018;35090;35397;37190;37832;35191;36415;36157;34145;33708;35756;35859;39960;40025;35908;37371;36019;34635;30294;29403;30360;31902;32885;32004;34082
Iceland;Fossil fuels;49;48;87;73;73;57;70;53;56;47;35;11;7;4;4;5;5;7;6;6;7;6;5;5;9;5;4;5;5;5;4;6;6;4;5;4;2;2;2;2;2;3;5;3;4;3;2.085;1.875;3.176
Iceland;Nuclear;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Iceland;Renewable sources;1572;1746;2233;2293;2250;2392;2562;2654;2899;3137;3260;3622;3821;3973;3896;4109;4205;4471;4531;4504;4487;4540;4722;4775;4972;5118;5582;6276;7183;7679;8029;8410;8494;8619;8681;9926;11974;16465;16832;17057;17209;17546;18111;18120;18795;18547;19236.448;19827.885;19483.943
Iceland;Total;1621;1794;2320;2366;2323;2449;2632;2707;2955;3184;3295;3633;3828;3977;3900;4114;4210;4478;4537;4510;4494;4546;4727;4780;4981;5123;5586;6281;7188;7684;8033;8416;8500;8623;8686;9930;11977;16467;16834;17059;17211;17549;18116;18123;18799;18550;19238.533;19829.76;19487.119
Ireland;Fossil fuels;5838;6207;6704;6845;7000;7714;8272;8948;9814;9728;9667;9728;10000;10548;10908;11388;11948;12023;12842;13532;14184;14958;15369;15889;16875;18157;18880;19708;20641;22488;23605;23461;23723;23821;23753;24641;25053.112;26320.393;23849.36;24447.612;21740.434;21837.246;19882.622;19346.258;20166.978;22634.766;21630.669;20400.058;18653.866
Ireland;Nuclear;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
