Country;Product;Flow;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Sweden;Total;Total energy supply (ktoe);36040;36771;38841;36805;39032;42354;41709;41515;43372;40484;42409;40607;41154;43483;47229;49202;48394;49388;47511;47195;48690;46539;46504;49699;50330;51497;50172;51065;50146;47554;50529;51781;50616;52587;51595;50231;49961;49584;45419;50907;49614;50116;49296;48072;44398;47773;49070;49766;47065
Switzerland;Total;Total energy supply (ktoe);16389;17078;18909;17651;17182;17779;18075;18813;19148;20035;19654;19072;20368;20867;22079;23053;22454;22660;22194;24291;24650;24794;24140;24359;23978;24468;24905;25200;25243;24904;26444;25769;25866;25960;25800;26944;25608;26594;26773;25966;25134;25347;26434;24768;24196;23552;23680;23832;24345
Turkey;Total;Total energy supply (ktoe);19545;22074;24356;25205;26758;29118;31933;31803;30250;31450;31709;33702;35681;37114;39322;42357;46973;47288;49105;51437;50577;52847;56351;55662;60900;66481;69755;70812;69753;76286;70257;74241;78684;80717;83990;93069;100321;98419;98268;105720;112513;117822;115041;119099;128813;136718;146814;144201;146622
United Kingdom;Total;Total energy supply (ktoe);208680;210214;218077;210017;199374;203325;207665;206555;217065;198441;192417;191321;190267;190244;200807;203937;205591;207393;206980;205937;212925;212173;214335;216059;216385;225706;219319;221521;222073;222991;223807;220658;224517;221806;222853;219112;211169;208827;196364;203666;188831;193864;191041;179975;181743;178728;176142;175212;171364
United States;Total;Total energy supply (ktoe);1587618;1666935;1730087;1691636;1653671;1766335;1824928;1878385;1874172;1804809;1754975;1681782;1683291;1755368;1774223;1771323;1846853;1919448;1947607;1915024;1930753;1969473;2004118;2041251;2067308;2113281;2134453;2152649;2210936;2273778;2230677;2256066;2261296;2307906;2318923;2296934;2337471;2277244;2164836;2216888;2186794;2147611;2184517;2210697;2186465;2163049;2155230;2230770;2204145
OECD Total;Total;Total energy supply (ktoe);3372388;3543744;3740652;3695013;3617572;3848823;3942842;4064247;4164199;4067880;3966840;3872714;3878070;4033341;4123158;4162799;4299017;4430535;4508918;4548802;4601399;4642996;4711629;4790083;4890520;5037821;5087210;5104142;5194427;5311747;5295864;5336814;5412986;5514226;5547728;5560646;5584605;5510731;5265600;5440758;5338852;5299779;5331508;5281190;5280083;5280210;5313756;5369420;5320815
Brazil;Total;Total energy supply (ktoe);;;;;;;;;;;;;;;;;;;;140302;142951;144447;148068;155876;161215;169797;178423;182708;186865;187666;190996;196110;199340;210489;215807;223315;235965;249170;240929;266532;270138;280751;293394;302521;296403;285613;290927;287026;291360
People's Republic of China;Total;Total energy supply (ktoe);;;;;;;;;;;;;;;;;;;;873640;847995;876831;928803;972772;1044449;1073472;1073049;1078410;1098613;1129873;1168295;1245797;1419645;1614658;1781419;1948769;2097549;2153956;2296879;2536204;2722114;2819891;2910753;2964658;2991430;2970862;3064902;3196418;
India;Total;Total energy supply (ktoe);;;;;;;;;;;;;;;;;;;;305741;318539;330178;338081;351061;371229;382590;397767;407314;430788;440929;448045;462270;473978;499647;514747;532988;568105;603835;663169;700758;733657;766259;778810;822053;834532;852216;882876;919441;
Indonesia;Total;Total energy supply (ktoe);;;;;;;;;;;;;;;;;;;;98661;103494;107885;118500;118658;130873;135618;140176;137110;143627;155678;159209;164994;165330;176133;178848;182915;182176;185347;195652;201689;205083;204133;197252;205533;204166;209179;221876;231136;
Morocco;Total;Total energy supply (ktoe);;;;;;;;;;;;;;;;;;;;7619;8006;8481;8801;9425;9338;9814;10116;10310;10962;11019;11681;11873;11821;14005;14827;15082;15561;16165;16282;17080;18410;18669;18729;19004;19536;19600;20515;20585;
Singapore;Total;Total energy supply (ktoe);;;;;;;;;;;;;;;;;;;;11526;13065;14825;18183;22089;18845;19673;22087;19963;18161;18669;21294;21156;25582;30713;21012;22572;20820;23996;25284;23502;20714;24374;26464;29006;31713;32474;36109;37753;
South Africa;Total;Total energy supply (ktoe);;;;;;;;;;;;;;;;;;;;89716;92190;87873;93686;98171;103546;106592;108672;110760;109024;109152;105472;100064;112677;122780;118083;120401;131157;142130;144018;134451;136923;130983;129875;137686;128819;135080;135893;134242;
Thailand;Total;Total energy supply (ktoe);;;;;;;;;;;;;;;;;;;;42178;45795;48766;51425;56830;61929;69247;70538;66139;70609;72293;74396;82269;89121;96305;99181;101058;105341;108121;107720;117860;117642;126248;136255;135591;136227;139356;138609;135806;
Non-OECD Total;Total;Total energy supply (ktoe);1980184;2069215;2173507;2266021;2398226;2501788;2635255;2773410;2880236;2956350;3006248;3113053;3193117;3319213;3426393;3533755;3687947;3830310;3890353;4015488;4015948;3968929;3991858;3975332;4098104;4175702;4214647;4237611;4348574;4448636;4558542;4729751;5018617;5363816;5629111;5925205;6215027;6428399;6572304;7045612;7345487;7566060;7719199;7905651;7922368;8012917;8224743;8490352;
Africa;Total;Total energy supply (ktoe);189671;196433;204479;211549;219962;229326;238511;248965;257307;273359;282152;303400;311792;325076;335683;347178;358993;367548;370992;386263;397556;400779;410959;422853;439429;453001;463754;476405;488018;491038;504449;512169;537890;566910;585499;603823;626425;654336;668680;685928;710822;725649;739817;779174;773869;797212;813844;836720;
Non-OECD Americas;Total;Total energy supply (ktoe);189744;196946;210600;222348;226765;235871;247310;257233;267530;276435;272352;276223;282695;290793;294927;306485;317330;321750;326717;325442;330194;339257;339589;362272;369171;387840;401433;417534;427627;430557;427554;446287;453620;472192;485916;503515;526389;543085;529315;577348;578386;598282;629097;633601;630049;616991;615906;598977;
Non-OECD Asia (including China);Total;Total energy supply (ktoe);705382;735453;764825;787586;847686;881224;943762;1007621;1039009;1052896;1064567;1099654;1143364;1199365;1240685;1290957;1350904;1423843;1470305;1578783;1585522;1643465;1728478;1800930;1921295;1985092;2023475;2038750;2106404;2180841;2242317;2357948;2571650;2830342;3023001;3227858;3432915;3539967;3752509;4062020;4287177;4436754;4561275;4693954;4744386;4774686;4931632;5135587;
Non-OECD Europe and Eurasia;Total;Total energy supply (ktoe);854006;898294;943085;988536;1042863;1085684;1128408;1174506;1213486;1240143;1254206;1283597;1304293;1345071;1386505;1414708;1471488;1510867;1497503;1514040;1477982;1333720;1238390;1090645;1061663;1037773;993552;970714;978715;992964;1002414;1011979;1048887;1062295;1065578;1095652;1107181;1125895;1037698;1111980;1146775;1150350;1122288;1093610;1056520;1089509;1108954;1159160;
Middle East;Total;Total energy supply (ktoe);41380;42089;50519;56003;60950;69683;77264;85084;102904;113518;132972;150180;150972;158909;168592;174428;189232;206302;224836;210961;224694;251708;274443;298633;306547;311997;332434;334209;347811;353236;381807;401367;406569;432076;469117;494357;522117;565116;584101;608336;622327;655026;666722;705313;717544;734520;754408;759907;
IEA Total;Total;Total energy supply (ktoe);3357042;3528455;3723268;3679617;3601811;3833149;3926769;4047472;4145961;4049081;3948271;3854335;3859857;4014326;4104231;4141899;4276796;4405977;4482541;4491392;4543469;4589953;4659925;4737501;4835085;4978934;5025397;5040739;5131464;5247838;5229867;5269548;5343806;5443445;5477104;5486170;5506980;5430457;5188856;5362404;5257399;5214609;5247464;5201783;5199274;5196918;5229266;5282731;5232768
IEA and Accession/Association countries;Total;Total energy supply (ktoe);;;;;;;;;;;;;;;;;;;;6090850;6146877;6235752;6390454;6547574;6763566;6975454;7057891;7086373;7233116;7405427;7442244;7588530;7876404;8245094;8458259;8671526;8903741;8953035;8917083;9398382;9523003;9630496;9784477;9859582;9884662;9886325;10066854;10291808;
World;Total;Total energy supply (ktoe);5518626;5787514;6097938;6134517;6179599;6517704;6750542;7013321;7225588;7202638;7143832;7148781;7228888;7514092;7720074;7880562;8174639;8458260;8601306;8766629;8821713;8827962;8917217;8987660;9218551;9450567;9547182;9594820;9809142;10034446;10118380;10343117;10709710;11181293;11494403;11820139;12149340;12291722;12173619;12844687;13047660;13214685;13401850;13550381;13583338;13687033;13950513;14281889;
